Geneid	Chr	Start	End	Strand	Length	Starch_S232	Starch_S235	Fat_S238	Starch_S233	Fat_S237	Starch_S231	Fat_S239	Fat_S236	Fat_S240
C0293	U00096.3	1196711	1196782	+	72	0	0	1	0	0	0	0	0	0
CsiR	U00096.3	2795674	2796336	+	663	9.67	7.00	5.67	9.67	5.00	13.67	6.00	10.67	7.67
aaeR	U00096.3	3389496	3390449	+	954	8	7	7	16	8	14	8	10	9
aaeXAB	U00096.3	3386221	3389430	-	3210	8	6	8	12	6	11	7	6	11
aas-lplT	U00096.3	2972669	2976014	-	3346	15	15	18	12	9	6	8	12	8
aat	U00096.3	926728	927460	-	733	4	1.50	2.50	3	2	2	0.50	2.50	2
abgABT-ogt	U00096.3	1399721	1404565	-	4845	7.50	10	8	5	4.50	13	7.50	8	5
abgR	U00096.3	1404741	1405693	+	953	7	7	3	1	4	3	5	4	6
abpAB	U00096.3	2761351	2765153	-	3803	92	80	120	94	69	100	89	84	99
abrB	U00096.3	746723	747769	-	1047	7.33	5	5	2	5	8.33	2	4	3
accA	U00096.3	208326	209580	+	1255	92	81	88.50	72.50	69.50	66.50	85.50	66	77.50
accBC	U00096.3	3405140	3407302	+	2163	215	220	263	243	187	205	213	240	232
accD	U00096.3	2432963	2434015	-	1053	18.50	18	32.50	23.50	18	22.50	31.50	29	22
aceBAK	U00096.3	4215402	4220332	+	4931	109	105.50	87.50	106	67.50	109.50	84.50	89.50	89.50
aceEF	U00096.3	122969	127619	+	4651	40	37.50	48	42	36.50	39	41	36.50	44.50
aceK	U00096.3	4218566	4220332	+	1767	5	10.50	6.50	6	4.50	5.50	3.50	7.50	3.50
ackA	U00096.3	2413459	2414672	+	1214	64.17	53.83	74.83	57.67	50.00	47.00	42.33	49.67	66.67
ackA-pta	U00096.3	2413459	2416891	+	3433	90.67	68.83	98.83	80.67	74.50	68.50	63.33	72.67	85.17
acnA	U00096.3	1335424	1338506	+	3083	22.50	28.50	26.50	29	20	30	15	19	18
acnB	U00096.3	131519	134272	+	2754	55	68	73	46	32	46	54	58	58
acpH	U00096.3	424337	424918	-	582	0	2	2.50	5.50	4	5	3.50	1	4
acpP	U00096.3	1151575	1151887	+	313	200.50	205.25	219	212	191.75	203	197.75	210.75	212.50
acpP-fabF	U00096.3	1151575	1153180	+	1606	251.50	253.25	269	262	237.75	254	241.25	264.25	259.50
acpT	U00096.3	3612969	3613556	+	588	3	8.50	5	5	7	9.50	5.50	5.50	8
acrAB	U00096.3	481254	485698	-	4445	36.50	30	28.50	30	19.50	26	21	25	26.50
acrB	U00096.3	481254	484685	-	3432	14.50	14.50	15.50	15.50	9	11.50	9.50	12	10.50
acrD	U00096.3	2587475	2590708	+	3234	6	7	17	7	6	11	6	7	12
acrEF	U00096.3	3413702	3418177	+	4476	10	9	11	18	5	6	5	7	3
acrR	U00096.3	485699	486408	+	710	6	13.50	12	10.50	6.50	13.50	9.50	5	11
acrZ	U00096.3	794751	794922	+	172	71	67	72	68	38	67	38	34	28
acs-yjcHG	U00096.3	4283253	4287595	-	4343	3.83	10.33	4.50	6.33	4.83	5.33	7	2.50	4.00
actP	U00096.3	4283253	4284935	-	1683	0.33	1.33	0	0.33	0.33	1.33	0	0	2.00
ada-alkB	U00096.3	2308691	2310427	-	1737	15	7.50	7.50	11.50	8.50	11.50	5.50	2.50	6
add	U00096.3	1702202	1703234	+	1033	64	62	69	49	52	61	51	55	58
ade	U00096.3	3843910	3845730	+	1821	17	17	25	12	7	13	12	14	8
adeQ	U00096.3	3842455	3843789	-	1335	4	6.50	8.50	8	1	5.50	5	3.50	4
adhE	U00096.3	1295446	1298413	-	2968	1112	1101	1299	1070	1077	1037	1281	1163.50	1179
adhP	U00096.3	1552828	1553994	-	1167	8	4	3.50	6.50	1	13	6.50	8.50	9
adiA	U00096.3	4338210	4340556	-	2347	9	9	4	5	8	9	17	6	3
adiC	U00096.3	4335694	4337202	-	1509	12	11.50	15	17.50	9	12.50	19.50	10	16
adiY	U00096.3	4337168	4338042	-	875	16	23.50	19	22.50	14	15.50	21.50	8	14
adk	U00096.3	497139	497819	+	681	50	41	49	41	36	37	40	43	41
adrA	U00096.3	403687	404818	+	1132	2	1	3	1	0	0	1	2	2
aegA	U00096.3	2583546	2585525	-	1980	14	12	15	16	12	13	13	22	8
aer	U00096.3	3217556	3219120	-	1565	4	4	3	5	5	3	3	4	8
aes	U00096.3	498945	500051	-	1107	12	10	12.50	9.50	7	4.50	9.50	12.50	7
agaR	U00096.3	3277856	3278703	-	848	12	10	17	17	8	8	9	12	12
agaSYBCDI	U00096.3	3281889	3287025	+	5137	7	5	12	4	6	10	11	4	9
agp	U00096.3	1065559	1066857	+	1299	25	19	36	25.50	25	27	21	24	25
agrA	U00096.3	3648063	3648144	+	82	2	4	2	7	3	5	0	2	4
agrB	U00096.3	3648294	3648375	+	82	1	3	3	3	4	4	1	3	5
ahpCF	U00096.3	638693	641318	+	2626	84	61.50	79	61.50	50.50	71.50	71.50	72.50	85.50
ahpF	U00096.3	639002	641318	+	2317	44	44.50	40	34.50	26.50	37.50	27	34.50	41
aidB	U00096.3	4414247	4415900	+	1654	257	248	204	244	177	240	251	231	240
ais	U00096.3	2365018	2365756	-	739	0	1	1	0	0	0	1	0	0
alaA	U00096.3	2407408	2408778	+	1371	25	24.50	36.50	23	14.50	19	21	23	28
alaA-yfbR	U00096.3	2407414	2409461	+	2048	29	28	38	29.50	18.50	23.50	25	24.50	34
alaC	U00096.3	2497057	2498399	-	1343	16	12	20	22	21	17	18	15	12
alaE	U00096.3	2799084	2799613	+	530	268	396	266	297	86	235	131	153	139
alaS	U00096.3	2819381	2822090	-	2710	110.50	121	135.50	108	107.50	94.50	110.50	143	138.50
alaWX	U00096.3	2518002	2518253	-	252	0	1	0	0	0	0	0	0	0
aldA	U00096.3	1488190	1489671	+	1482	13	18	6	15	9	11	8	3	7
aldB	U00096.3	3754906	3756535	-	1630	9	10	8	9	8	5	6	6	5
alkA	U00096.3	2146692	2147559	-	868	2	1	3	0	1	2	4	2	2
alkB	U00096.3	2308691	2309445	-	755	2	0.50	1.50	0.50	1.50	3.50	0.50	0.50	1
allA	U00096.3	532390	532933	+	544	9	9	14	3	3	8	10	7	7
allB	U00096.3	538944	540508	+	1565	3	4.33	3.17	2.17	2	1.33	2.67	1	1.50
allDC-ylbA	U00096.3	543261	546411	-	3151	18	29	28	17	9	23	20	16	15
allR	U00096.3	532981	533826	+	846	15.50	20.50	26.50	20.50	19	29.50	19.50	29	19.50
allS	U00096.3	531295	532300	-	1006	2	3	1	7	1	5	1	7	2
alpA	U00096.3	2758644	2758856	+	213	0	1	0	0	0	0	0	1	0
alr	U00096.3	4265589	4266861	+	1273	49	51	68	61.50	56	54.50	49	58.50	67
alsBACE	U00096.3	4307783	4312072	-	4290	7.50	6.00	11.67	8.83	4	10	5.17	5.33	3
alsK	U00096.3	4306870	4307995	-	1126	1	1.00	1.67	4.33	1	3	1.67	2.33	3
alsRBACE	U00096.3	4307783	4313137	-	5355	26.50	22.00	23.67	24.83	16	22	16.17	18.33	24
alx	U00096.3	3238371	3239545	+	1175	1	2	0	2	5	0	2	3	3
ameF	U00096.3	2911051	2911450	+	400	2.38	1.73	2.85	1.58	1.53	1.40	2.05	0.80	1.40
amiA-hemF	U00096.3	2552241	2554124	+	1884	22	24.50	22.50	20.50	18.50	22.33	16.33	21.50	21.50
amiC	U00096.3	2947757	2949189	-	1433	15	9.50	13	9	9	7	4.50	7.50	10
amn	U00096.3	2055031	2056515	+	1485	22	29	27	19	24	19	24	18	25
ampC	U00096.3	4377783	4379003	-	1221	15.50	10.50	15	17.50	8	11.50	12	12	12
ampDE	U00096.3	118703	120135	+	1433	7	8	9	3	6	5	3	5	8
ampG	U00096.3	452070	453684	-	1615	3.33	4.67	3.50	6.67	2.33	2.50	2.50	3.33	3.33
ampH	U00096.3	395130	396363	-	1234	7	8	13	7	7	9	3	3	9
amyA	U00096.3	2006115	2007674	+	1560	16	19	10.50	15	5.50	16	8	8.50	7.50
anmK	U00096.3	1718493	1719673	-	1181	10	11	12	9	3	12	7	12	7
ansA-pncA	U00096.3	1850860	1852528	+	1669	48	42	44	60	39	34	44	43	41
ansB	U00096.3	3099654	3100790	-	1137	111	120	138	117	100	97	106	115.50	128.50
ansP	U00096.3	1524481	1526020	-	1540	23	26	26	20	16	22	27	18	20
apaGH	U00096.3	50380	52034	-	1655	6.05	5.50	5.25	5.50	4.35	5.70	5.75	6.45	6.30
aphA	U00096.3	4269414	4270127	+	714	10	10	20	17	14	21	12	15	11
appA	U00096.3	1040599	1041915	+	1317	33.50	40.50	35	40	34	41	37	42.50	40
appCBA-yccB	U00096.3	1037710	1041915	+	4206	52.50	68.50	59	61	56	58	67	61.50	79
appY	U00096.3	583567	584430	+	864	2	7	1	6	0	3	4	2	5
apt	U00096.3	491310	491963	+	654	34	35	19	29	28	21	20	22	30
aqpZ	U00096.3	915352	916133	-	782	2	3	2	5	0	1	2	1	2
araBAD	U00096.3	65800	70075	-	4276	43	48	58	50	38	32	44	49	53
araC	U00096.3	70223	71265	+	1043	1	6	6	5	5	3	6	1	2
araE	U00096.3	2980764	2982208	-	1445	2	2	2.50	2.50	2.50	2	1.50	1	3.33
araE-ygeA	U00096.3	2979943	2982208	-	2266	5.33	5	4.67	3.67	5.83	6.33	3.17	3.33	5.33
araFGH	U00096.3	1982554	1986238	-	3685	50	71	57	32	47	43	29	39	51
araJ	U00096.3	411297	412529	-	1233	10	5	8	10	0	8	6	9	11
arcA	U00096.3	4639539	4640801	-	1263	296	274.50	297.50	276.50	248.33	272.50	272.50	295.83	303.33
arcB	U00096.3	3350689	3353049	-	2361	52.50	52	65	49	54	39	37	46	42
arcZ	U00096.3	3350577	3350697	+	121	4.50	2	5	1	1	2	1	3	2
arfA	U00096.3	3438431	3438673	-	243	4	2	1.50	2.50	5	2	2.50	7	3
argA	U00096.3	2949156	2950573	+	1418	4	9.50	12	5	7	4	11	4.50	10
argCBH	U00096.3	4154885	4158223	+	3339	5	5	4.50	2	5.50	5	2	7	5
argD	U00096.3	3488960	3490221	-	1262	2	3	2	2	0	0	2	1	0
argE	U00096.3	4153696	4155078	-	1383	12.50	17.50	13	14	11.50	10	16.50	9.50	13
argF	U00096.3	289301	290340	-	1040	0	0	1	0	0	1	0	0	0
argF-xynR	U00096.3	288404	290340	-	1937	0	0.50	1.50	0.50	0	1	0	0	0.50
argG	U00096.3	3318562	3319980	+	1419	15	10	10.50	8	10	17	11	6	15
argH	U00096.3	4156850	4158223	+	1374	3.50	1.50	1.50	1	0	1	0.50	0.50	1
argI	U00096.3	4477307	4478344	-	1038	6	2	6	7	3	3	2	3	3
argO	U00096.3	3068173	3068836	-	664	8	7.50	6.50	7	5.50	8	2	5	7
argP	U00096.3	3059730	3060680	+	951	18	15	24	10	11	14	15	11	12
argQ	U00096.3	2817784	2817890	-	107	1.50	0	1	1.50	0.50	0.50	0.50	0.50	0.50
argR	U00096.3	3384602	3385173	+	572	129	107	124	122	91	105	95	96	105
argS	U00096.3	1960001	1961843	+	1843	37	33	43	40.50	27	36	32.50	36	32.50
argT-hisJQMP	U00096.3	2423736	2427849	-	4114	17.50	19.50	23.50	14	15	18	10.50	12	17.50
argU	U00096.3	564703	564799	+	97	0	1	0	1	0.50	0.50	0	0	0
argW	U00096.3	2466308	2466383	+	76	0	0	0	2	0	1	1	0	0
argX-hisR-leuT-proM	U00096.3	3982364	3982841	+	478	2	0	0	1	1.50	0	2.50	1	2
ariR	U00096.3	1216369	1216635	+	267	0	0	0	0.33	0.33	0	0	0	0
arnBCADTEF	U00096.3	2365910	2373278	+	7369	19	17	15	15	10	16	7	13	10
aroD	U00096.3	1774571	1775444	+	874	10.50	5	8	6	7.50	12	10	12.50	10.50
aroF-tyrA	U00096.3	2738912	2741201	-	2290	22	24	42	36	14	19	18	20	20
aroG	U00096.3	785591	786821	+	1231	60	61	66	61	40	46	50	47	53
aroH	U00096.3	1788318	1789510	+	1193	21	24	18	16	13	21	21	18	24
aroKB-damX-dam-rpe-gph-trpS	U00096.3	3512634	3519380	-	6747	86.42	82.75	94.45	80.65	54.97	73.95	80.55	78.77	77.27
aroL-yaiA-aroM	U00096.3	406280	408105	+	1826	24.17	24.33	27.50	28.17	16	25.50	26.50	28.17	27.17
aroM	U00096.3	407400	408105	+	706	0.67	1.33	1.00	0.67	0	0	1.00	0.67	0.67
aroP	U00096.3	120144	121671	-	1528	26	18	26	19	20	24	15	25	23
arpA	U00096.3	4220301	4222691	-	2391	3	2	3	2	1	0	3	1	2
arpB	U00096.3	1803094	1804993	+	1900	3	3	0	3	0	0	1	1	2
arrS	U00096.3	3657985	3658054	-	70	6.50	8.50	5.50	5.50	5	7.50	6.33	4.83	7
arsRBC	U00096.3	3648512	3650662	+	2151	8	3	8	4	6	3	4	5	5
artJ	U00096.3	899648	900626	-	979	3	5	7	13	3	9	4.50	2	5.50
artPIQM	U00096.3	900695	903843	-	3149	89	113	83	89	70	86	88	77	101
ascB	U00096.3	2840942	2842414	+	1473	14.50	13	12	15.50	7	8.50	7	6.50	10
ascFB	U00096.3	2839429	2842414	+	2986	18.50	15	13	16.50	10	9.50	8	8.50	11
ascG	U00096.3	2838254	2839287	-	1034	3	5	8	4	2	4	2	6	3
asd	U00096.3	3573775	3574878	-	1104	54	55	53	47	42	47	38	58	64
asflhD	U00096.3	1978176	1978395	+	220	3.50	4	3.50	8	6.50	4.50	3.50	6.50	7.50
aslA	U00096.3	3984352	3986007	-	1656	2	0	0	3	1	1	1	1	1
aslB	U00096.3	3982781	3984193	+	1413	3	11	6	3	4.50	3	2.50	0	1
asmA	U00096.3	2139759	2141612	-	1854	39.33	19	40	22.33	30	41	29	21.67	26
asnA	U00096.3	3927129	3928147	+	1019	15	17	10	13	5	8	11	7	3
asnB	U00096.3	697513	699222	-	1710	16	18	24	9	6	17	16	7	13
asnC	U00096.3	3926545	3927031	-	487	2.00	0.67	3.67	1.33	1.00	0.67	1.33	1.33	0.67
asnC-mioC	U00096.3	3926012	3927031	-	1020	10.00	4.67	12.00	8.00	6.33	8.00	7.00	8.67	7.00
asnC-mioC-mnmG	U00096.3	3923705	3927031	-	3327	56.00	40.17	46.50	53.33	36.00	41.50	41.17	55.00	44.00
asnS	U00096.3	987392	989044	-	1653	171	172	162	193	131	157	178	145	173
asnT	U00096.3	2044541	2044750	+	210	10	6	9	15	4	12	7	14	15
asnU	U00096.3	2059845	2059966	+	122	0	0	0.50	0	0.50	0	0	0	1
asnV	U00096.3	2062252	2062335	+	84	0	0	2	0	1	0	3	0	0
asnW	U00096.3	2057926	2058102	-	177	0	0	0	1	0	0	1	0	0
aspA	U00096.3	4366844	4368432	-	1589	1187.91	1245.66	1404.16	1228.75	1021.83	1128.91	1064.83	1156.08	1124.41
aspA-dcuA	U00096.3	4365472	4368432	-	2961	1387.41	1448.00	1653.66	1422.08	1169.00	1309.25	1244.66	1340.08	1325.91
aspC	U00096.3	984519	985743	-	1225	32	34	32	32	22	34	26	36	40
aspS	U00096.3	1948662	1950701	-	2040	159	160	174	142	136	148.50	149	171.50	194
aspT	U00096.3	3946780	3946948	+	169	0	0.50	0.50	0	0	0.50	0	0	0.50
aspU	U00096.3	228898	229052	+	155	0	0	0	2	1	0	0	0	0
aspV	U00096.3	236913	237067	+	155	1	0	0	1	0	2	0	0	0
aspX	U00096.3	4366839	4366951	-	113	180.91	190.00	211.66	185.08	156.00	176.75	174.66	184.58	178.91
asr	U00096.3	1671327	1671720	+	394	5	4	5	7	2	2	5	3	2
astCADBE	U00096.3	1825955	1832044	-	6090	10	13	4	10	6	10	5	4	4
atoDAEB	U00096.3	2323412	2327293	+	3882	8	13	14	14	9	7	9	4	9
atoSC	U00096.3	2320043	2323251	+	3209	38	31	42	38	24	40	35	36	46
atpBEFHAGDC	U00096.3	3915508	3922270	-	6763	200.50	176	205.50	176.50	158.50	173.50	163.50	185	177
atpIBEFHAGDC	U00096.3	3915508	3922525	-	7018	201.50	179	210.50	178.50	160.50	174.50	166.50	186	181
avtA	U00096.3	3739674	3740958	+	1285	19	23	23	21	14	6	16	9	20
azoR	U00096.3	1482255	1482904	-	650	2	2	4	2	2	1	2	2	3
azuCR	U00096.3	1987843	1988001	-	159	35	60	50	79	30	64	28	34	18
bacA	U00096.3	3203310	3204175	-	866	13	25	14	13	14	21	18	12	10
baeSR	U00096.3	2162876	2164998	+	2123	14	16.50	15.50	20.50	12.50	14.50	7.50	14	16
bamA	U00096.3	197821	200360	+	2540	62.17	47.50	58.50	55.00	41.50	53.67	43.50	57.00	65.33
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	U00096.3	197026	208608	+	11583	314.50	300.83	321.00	310.16	239.50	302.33	264.66	291.50	318.50
bamB-der	U00096.3	2635884	2638975	-	3092	141.00	117.67	153.67	148.33	119.00	121.67	108.67	134.67	137.00
bamC	U00096.3	2597803	2599014	-	1212	24.33	33.17	35	31.83	23.50	29.50	26.33	29.83	29
bamD	U00096.3	2735961	2736883	+	923	131	122	133.50	113.50	106.50	128.50	112	112.50	131
bamE	U00096.3	2753486	2753946	+	461	111	115	135	103	100	102	99	128	96
barA	U00096.3	2915057	2917813	+	2757	8	13	11	9	3	11	7	8	10
basRS	U00096.3	4332181	4333950	-	1770	3	8	2.50	11	9.50	9	3	6.50	5
bax	U00096.3	3736353	3737221	-	869	16	21	21	17	8	16	18	20	13
bcp	U00096.3	2600437	2600948	+	512	13.50	9	10.50	6.50	20.50	6	12.50	11	10
bcr	U00096.3	2278570	2279760	-	1191	8	4	1	7	2	3	1	5	3
bcsABZC	U00096.3	3685700	3695236	-	9537	16	11	10.50	7.50	6	9	5.50	5	4.50
bcsBZ	U00096.3	3689155	3692673	-	3519	2	1	2.50	1	2	2	0.50	1	1.50
bcsEFG	U00096.3	3696443	3699893	+	3451	10	12	19	21	8	19	7	7	13
bcsQ	U00096.3	3695233	3695985	-	753	0	2	2	0.50	1	0	1	0	2
bdcA	U00096.3	4473340	4474064	-	725	1	0	2	3	2	1	0	0	0
bdcR	U00096.3	4474096	4474717	+	622	0	1	0	0	0	3	3	1	0
bdm-sra	U00096.3	1555826	1556340	-	515	33	36.50	32.50	38.50	25	33	32	25.50	27
bepA-yfgD	U00096.3	2616026	2617937	+	1912	194	187	232	214	175	198	202	227	221
betIBA	U00096.3	325577	329361	-	3785	7	0	4	3	2	2	5	0	3
betT	U00096.3	329421	331496	+	2076	5	1	3	4	2	2	0	0	0
bfd-bfr	U00096.3	3466249	3466991	-	743	44	54	46	42	32	34	28	31	31
bglA	U00096.3	3043662	3045101	+	1440	28	19	22	27	17.50	20	18	18	29
bglG	U00096.3	3905636	3906717	-	1082	1.50	1.50	1	2.50	0.50	0.50	1	1	0.50
bglGFB	U00096.3	3902249	3906697	-	4449	7.50	4.50	3	9.50	2.50	3.50	2	1	4.50
bglH-yieLK	U00096.3	3898671	3902220	-	3550	5	2	7	9	8	6	6	1	3
bglX	U00096.3	2219660	2222120	-	2461	12.50	13	18	6	12	18	12	17.50	11
bhsA	U00096.3	1169019	1169330	+	312	15.50	28	16	18	6	27	16	15	7
