Geneid	Chr	Start	End	Strand	Length	Starch_S232	Starch_S235	Fat_S238	Starch_S233	Fat_S237	Starch_S231	Fat_S239	Fat_S236	Fat_S240
thrL	U00096.3	190	255	+	66	4	6	0	4	3	3	0	4	1
thrA	U00096.3	337	2799	+	2463	14	7	7	15	5	7	12	18	12
thrB	U00096.3	2801	3733	+	933	11	10	19	14	9	8	11	15	17
thrC	U00096.3	3734	5020	+	1287	41	40	51	47	31	33	37	35	44
yaaX	U00096.3	5234	5530	+	297	10	5	11	10	6	3	5	5	5
yaaA	U00096.3	5683	6459	-	777	18	11	14	18	8	15	11	14	7
yaaJ	U00096.3	6529	7959	-	1431	4	1	2	2	6	1	2	3	3
talB	U00096.3	8238	9191	+	954	132	157	175	145	153	134	134	154	158
mog	U00096.3	9306	9893	+	588	8	6	13	6	9	12	12	11	5
satP	U00096.3	9928	10494	-	567	5	5	4	5	2	2	1	3	5
yaaW	U00096.3	10643	11356	-	714	5	5	10	6	2	6	3	6	5
mbiA	U00096.3	10830	11315	+	486	5	4	6	4	2	4	3	5	5
yaaI	U00096.3	11382	11786	-	405	1	3	2	1	0	1	2	1	0
dnaK	U00096.3	12163	14079	+	1917	1609	1788	1600	1614	1327	1415	1494	1554	1576
dnaJ	U00096.3	14168	15298	+	1131	36	31	30	19	18	25	35	21	29
insL-1	U00096.3	15445	16557	+	1113	28	19	19	19	10	18	9	14	16
mokC	U00096.3	16751	16960	-	210	8	4	6	8	4	8	4	6	9
hokC	U00096.3	16751	16903	-	153	6	4	6	8	4	8	4	6	9
sokC	U00096.3	16952	17006	+	55	5	0	3	0	2	1	2	2	2
nhaA	U00096.3	17489	18655	+	1167	86	70	82	76	43	73	64	72	73
nhaR	U00096.3	18715	19620	+	906	10	13	20	24	10	17	7	19	12
insB-1	U00096.3	19811	20314	-	504	0	2	5	0	5	1	2	2	0
insA-1	U00096.3	20233	20508	-	276	0	1	1	1	0	1	0	4	1
rpsT	U00096.3	20815	21078	-	264	355	346	375	345	337	366	332	380	368
yaaY	U00096.3	21181	21399	+	219	42	40	37	32	23	33	27	34	38
