Name	Direction	TU_start	TU_end	Genes
leuLABCD	-	78848.0	84024.0	leuD,leuC,leuB,leuA,leuL
yjcB	-	4274760.0	4275164.0	yjcB
ydeM	-	1579633.0	1580790.0	ydeM
yjjQ-bglJ	+	4603319.0	4604837.0	bglJ,yjjQ
rhtC	+	4007739.0	4008377.0	rhtC
oxyR	+	4158457.0	4159407.0	oxyR
ybhJ	+	803503.0	805764.0	ybhJ
xdhABC	+	3000257.0	3003968.0	xdhB,xdhC,xdhA
accA	+	208326.0	209580.0	accA
fliDST	+	2003817.0	2006165.0	fliD,fliS,fliT
alaA	+	2407408.0	2408778.0	alaA
ldtB	-	854824.0	855786.0	ldtB
ybgQPO	-	747921.0	752169.0	ybgQ,ybgP,ybgO
yfaY	-	2362431.0	2363655.0	yfaY
glyQS	-	3722291.0	3725354.0	glyS,glyQ
yfcE	-	2419234.0	2419788.0	yfcE
fadR	+	1234905.0	1235698.0	fadR
acrD	+	2587475.0	2590708.0	acrD
paaJ	+	1460644.0	1462098.0	paaJ
yjgH	-	4472814.0	4473209.0	yjgH
nanY	+	4505260.0	4506405.0	nanY
yidL	+	3860253.0	3861176.0	yidL
napFDAGHBC	-	2297657.0	2303695.0	napC,napB,napH,napG,napA,napD,napF
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	-	3423371.0	3429047.0	rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD
dcuR	-	4349315.0	4350565.0	dcuR
glrK	-	2689671.0	2691123.0	glrK
rrsH-ileV-alaV-rrlH-rrfH	+	223485.0	228875.0	rrfH,rrlH,alaV,ileV,rrsH
yfeR	-	2525930.0	2527039.0	yfeR
ptsG	+	1157626.0	1159302.0	ptsG
sdaA	+	1896809.0	1898331.0	sdaA
glnW-metU-glnVX	-	696392.0	696830.0	glnX,glnV,metU,glnW
lfhA	-	248358.0	250070.0	lfhA
ilvLXG_1G_2MEDA	+	3950218.0	3957123.0	ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL
xapB	-	2522698.0	2524375.0	xapB
rzoD	+	578327.0	578509.0	rzoD
wzbc	-	2133490.0	2137193.0	wza,wzc,wzb
rlmN	-	2643129.0	2644283.0	rlmN
yqfB	-	3043312.0	3043623.0	yqfB
cbrC	+	3898022.0	3898609.0	cbrC
yggN	-	3100904.0	3101798.0	yggN
ryeA	+	1923064.0	1923337.0	ryeA
gntXY	+	3544667.0	3546199.0	nfuA,yhgH
mliC	-	1718066.0	1718395.0	mliC
yeiQ	+	2266164.0	2267711.0	yeiQ
leuO	+	84154.0	85312.0	leuO
yajG	-	453557.0	454210.0	yajG
thiI	+	441468.0	442997.0	thiI
ybeD-lipB	-	661637.0	662706.0	lipB,ybeD
yeaL	+	1874323.0	1874798.0	yeaL
topA	+	1330789.0	1333645.0	topA
manXYZ-yobD	+	1901933.0	1905259.0	yobD,manZ,manY,manX
clcB	+	1665315.0	1666571.0	clcB
gapA	+	1862240.0	1863766.0	gapA
rybA-mntS	-	852725.0	853064.0	rybA,mntS
ynaI	-	1394891.0	1395973.0	ynaI
sdiA	-	1996110.0	1996917.0	sdiA
zraSR	+	4201905.0	4204645.0	zraR,zraS
rfaDFCL	+	3793865.0	3798207.0	waaL,waaC,waaF,rfaD
yfdRST	+	2474984.0	2476178.0	yfdT,yfdS,yfdR
proP	+	4330320.0	4332004.0	proP
mutH	+	2969582.0	2970351.0	mutH
rlmJ	+	3645350.0	3646227.0	rlmJ
ygaY	+	2808316.0	2809493.0	ygaY
yihXY-dtd-fabY	+	4075548.0	4078438.0	fabY,dtd,yihY,yihX
yeaM	-	1874755.0	1875600.0	nimR
cdd	+	2231819.0	2232728.0	cdd
ssrS-ygfA	+	3055759.0	3056789.0	fau,ssrS
artPIQM	-	900695.0	903843.0	artM,artQ,artI,artP
ycgR	-	1243793.0	1244556.0	ycgR
ybhM	+	820778.0	821506.0	ybhM
mdtEF	+	3659084.0	3663527.0	mdtF,mdtE
rseABC	-	2707322.0	2709632.0	rseC,rseB,rseA
yfbL	+	2385750.0	2386831.0	yfbL
aaeXAB	-	3386221.0	3389430.0	aaeX,aaeA,aaeB
csrC	+	4051036.0	4051281.0	csrC
bluF	-	1214264.0	1215506.0	bluF
mngR	-	765104.0	765926.0	mngR
mnaT-ydcZ	-	1517882.0	1518846.0	mnaT,ydcZ
rnc-era	-	2702481.0	2704223.0	era,rnc
ynjI	-	1843831.0	1844900.0	ynjI
ibsD	+	3194701.0	3194825.0	ibsD
yhhW	-	3578950.0	3579645.0	yhhW
uvrD	+	3997907.0	4000177.0	uvrD
ybbY-glxK	+	540359.0	543033.0	glxK,ybbY
trhP	+	2165668.0	2167029.0	trhP
ldrA	-	1269168.0	1269477.0	ldrA
yjfP	+	4416756.0	4417701.0	yjfP
uvrC	-	1992874.0	1994879.0	uvrC
chaA	-	1270749.0	1271849.0	chaA
mtlADR	+	3772188.0	3776419.0	mtlA,mtlD,mtlR
ychQA-kdsA	+	1266899.0	1269067.0	kdsA,ychA,ychQ
yggM	-	3098558.0	3099757.0	yggM
yfgM	-	2638663.0	2639433.0	yfgM
yagN	-	295139.0	295671.0	yagN
relA	-	2911417.0	2914318.0	relA
mdtG	-	1114264.0	1115490.0	mdtG
lacYA	-	361140.0	363179.0	lacA,lacY
ade	+	3843910.0	3845730.0	adeD
ppsA	-	1784734.0	1787161.0	ppsA
ptsHI-crr	+	2533498.0	2536380.0	ptsH,ptsI,crr
elbB-mtgA	-	3349081.0	3350459.0	elbB,mtgA
umuDC	+	1230738.0	1232454.0	umuD,umuC
bglG	-	3905636.0	3906717.0	bglG
cmtBA-yggPF-fumE-yggC	-	3073976.0	3079330.0	cmtB,cmtA,yggP,yggF,fumE,yggC
pdhR-aceEF-lpdA	+	122034.0	129394.0	pdhR,aceE,aceF,lpd
nanXY	+	4504020.0	4506405.0	nanY,nanX
mngAB	+	765811.0	770611.0	mngB,mngA
ybbN	-	517425.0	518490.0	cnoX
ygbA	-	2856453.0	2856828.0	ygbA
greA	-	3328239.0	3328864.0	greA
hyuA	+	3009830.0	3011413.0	hyuA
ygeG	+	2991268.0	2991759.0	ygeG
ravA-viaA	-	3928152.0	3931128.0	ravA,viaA
insI2	+	1469358.0	1470509.0	insI2
yhhA	+	3586729.0	3587383.0	yhhA
ydfH	+	1628326.0	1629038.0	rspR
ydjM	+	1810170.0	1810801.0	ydjM
seqA-pgm	+	712942.0	715242.0	pgm,seqA
nhaR	+	18654.0	19620.0	nhaR
ybeX-lnt	-	689343.0	691784.0	ybeX,lnt
perR	-	269289.0	270182.0	perR
kch	-	1309016.0	1310523.0	kch
ycgY	+	1245083.0	1245600.0	ycgY
kefGB-yheV	-	3478592.0	3481161.0	kefG,kefB,yheV
dmlR	-	1880886.0	1881855.0	dmlR
rhoL	+	3966162.0	3966876.0	rhoL
sdsR-pphA	-	1922313.0	1923385.0	pphA,sdsR
yajR	-	445302.0	446687.0	yajR
fhuF	-	4604875.0	4605752.0	fhuF
yigE	-	4000292.0	4001056.0	yigE
cstA	+	629855.0	632091.0	cstA
pepD	-	254259.0	255809.0	pepD
gnsB	-	1637609.0	1637846.0	gnsB
yneE	-	1608108.0	1609182.0	yneE
htpG	+	494817.0	497029.0	htpG
yaeI	-	184257.0	185069.0	yaeI
yfdF	+	2462802.0	2464070.0	yfdF
ompA	-	1019013.0	1020191.0	ompA
smtA-mukFEB	+	973404.0	980786.0	mukB,mukE,mukF,cmoM
mreB	-	3400005.0	3401356.0	mreB
udk-dcd	-	2141634.0	2142948.0	dcd,udk
pfkA	+	4107474.0	4108732.0	pfkA
hokA	-	3720448.0	3720810.0	hokA,mokA
gnsA	+	1051999.0	1052240.0	gnsA
yhbX	-	3319988.0	3321651.0	yhbX
ybbAP	+	519733.0	522830.0	ybbP,ybbA
mutS	+	2857019.0	2859654.0	mutS
yfeO	+	2509453.0	2510886.0	yfeO
cusCFBA	+	595573.0	601857.0	cusA,cusB,cusF,cusC
rihA	-	683477.0	684602.0	rihA
